domain,effective_query,link,link_type,no_results,num_results,num_results_for_query,num_reviews,page_number,query,rank,rating,requested_at,requested_by,scrape_method,search_engine_name,snippet,status,title,visible_link
www.crrcgc.cc,,http://www.crrcgc.cc/wlzb/g14095/s25647/t296969.aspx,results,False,10,"Page 2 of about 1,360,000 results (0.20 seconds) ",None,2,上汽 试验台,5,None,2019-06-24 11:05:25.111193,localhost,http,google,"Oct 30, 2018 - 10月下旬，从上汽集团乘用车公司（以下简称“上汽”）传来喜讯，戚墅堰所与上汽联合开发的新型耐热钢材料顺利通过台架试验验证，以优异的综合 ...",successful,戚墅堰所一款新型耐热钢材料开发成功_新闻中心_集团新闻_眉山中车 ...,www.crrcgc.cc/wlzb/g14095/s25647/t296969.aspx
books.google.com,,https://books.google.com/books?id=FBBeDwAAQBAJ&pg=PT81&lpg=PT81&dq=%E4%B8%8A%E6%B1%BD+%E8%AF%95%E9%AA%8C%E5%8F%B0&source=bl&ots=YksdAf535U&sig=ACfU3U1v_aP9y82S6mJOnppuSXeVMUgHrA&hl=en&sa=X&ved=2ahUKEwjmmrjP_IHjAhVWu54KHb-LDgk4ChDoATAFegQICRAB,results,False,10,"Page 2 of about 1,360,000 results (0.20 seconds) ",None,2,上汽 试验台,6,None,2019-06-24 11:05:25.111193,localhost,http,google,"体化整合能力,研发的发动机冷试台、混合动力总成性能试验台为国内首创。 ... 包括以上海为中心的上汽集团自主及其合资的上汽乘用车、上汽通用、南汽等,北方以 ...",successful,跟着小巨人学创新：上海市科技小巨人企业案例集,https://books.google.com/books?isbn=7516615773
m.fblife.com,,http://m.fblife.com/culture/show_181472.html,results,False,10,"Page 2 of about 1,360,000 results (0.20 seconds) ",None,2,上汽 试验台,7,None,2019-06-24 11:05:25.111193,localhost,http,google,"Jan 19, 2017 - 今天我们受邀来到了上汽的底盘测试中心，体会一下ZS这款车的底盘功力。 ... 行业领先的EPS涡轮蜗杆、管柱等零部件疲劳试验台，全方位保证底盘 ...",successful,底盘好才是真的好探秘上汽名爵底盘测试中心越野e族-中国越野/SUV ...,m.fblife.com/culture/show_181472.html
shanghai.xinmin.cn,,http://shanghai.xinmin.cn/msrx/2017/10/25/31328082.html,results,False,10,"Page 2 of about 1,360,000 results (0.20 seconds) ",None,2,上汽 试验台,8,None,2019-06-24 11:05:25.111193,localhost,http,google,"Oct 25, 2017 - 【新民晚报·新民网】安研路201号，上汽集团技术中心的新能源技术实验室日夜不歇。 ... “3年前，习近平总书记来上汽视察的时候，我们试验台上正在做 ...",successful,十九大时光| 上汽新能源汽车试验测试团队加紧研发新一代技术-手机新民网,shanghai.xinmin.cn/msrx/2017/10/25/31328082.html
www.saicmotor.com,,https://www.saicmotor.com/chinese/xwzx/xwk/2016/45644.shtml,results,False,10,"Page 2 of about 1,360,000 results (0.20 seconds) ",None,2,上汽 试验台,9,None,2019-06-24 11:05:25.111193,localhost,http,google,"Dec 19, 2016 - 上汽大通SUV D90的盲订台数突破5000大关！ ... 未来，上汽大通还将会邀请核心用户参与在广德专业汽车试验场、格尔木高原、黑河极寒环境、 ...",successful,一个用户盲订了一台未投产的SUV不足为奇如果是5000个 ... - SAIC Motor,https://www.saicmotor.com/chinese/xwzx/xwk/2016/45644.shtml
www.hongyantruck.com,,https://www.hongyantruck.com/hongyan/public/index.php?s=Index/user/bidding_select&id=51,results,False,10,"Page 2 of about 1,360,000 results (0.20 seconds) ",None,2,上汽 试验台,10,None,2019-06-24 11:05:25.111193,localhost,http,google,岗位名称：. 台架试验工程师. 岗位类别：. 技术类. 学历：. 本科. 所属部门：. 技术中心. 工作地点：. 省份重庆市城市/行政区重庆. 工作年限：. 2年及以上. 招聘人数：. 2 ...,successful,社会招聘- 上汽红岩,https://www.hongyantruck.com/hongyan/public/index.php?s...
www.d1ev.com,,https://www.d1ev.com/news/qiye/65472,results,False,10,"About 2,510,000 results (0.29 seconds) ",None,1,吉利 试验台,1,None,2019-06-24 11:05:29.395462,localhost,http,google,"Mar 23, 2018 - 吉利汽车研发中心拥有多项中国甚至是世界之最，比如拥有68个试验台架的动力总成中心，规模国内第一。同时，动力总成中心高达75%的设备运行 ...",successful,揭秘吉利汽车杭州湾研发中心，看看工程师们到底在研究什么- 第一电动网,https://www.d1ev.com/news/qiye/65472
info.xcar.com.cn,,http://info.xcar.com.cn/201709/news_1986246_2.html,results,False,10,"About 2,510,000 results (0.29 seconds) ",None,1,吉利 试验台,2,None,2019-06-24 11:05:29.395462,localhost,http,google,"Sep 19, 2017 - 吉利汽车研究院参观；吉利帝豪GL；品质；碰撞安全 再将这些数据输入到设备控制系统，驱动试验台架模拟各种恶劣路况，来验证车辆结构的耐久性能 ...",successful,「图文」新车如何研发？吉利汽车研究中心见闻(2)_爱卡汽车,info.xcar.com.cn › 科技轶事
news.bitauto.com,,http://news.bitauto.com/hao/wenzhang/716286,results,False,10,"About 2,510,000 results (0.29 seconds) ",None,1,吉利 试验台,3,None,2019-06-24 11:05:29.395462,localhost,http,google,"Mar 20, 2018 - 吉利汽车研发中心拥有多项中国甚至是世界之最，比如拥有68个试验台架的动力总成中心，规模国内第一。同时，动力总成中心高达75%的设备运行 ...",successful,揭秘！带你走进吉利汽车研发大本营_易车号_易车网 - 文章,news.bitauto.com/hao/wenzhang/716286
www.buyevcar.com.cn,,http://www.buyevcar.com.cn/news/1522.html,results,False,10,"About 2,510,000 results (0.29 seconds) ",None,1,吉利 试验台,4,None,2019-06-24 11:05:29.395462,localhost,http,google,"Sep 19, 2017 - 吉利汽车研发中心的整车24通道耐久试验室的试验台架主要是针对车辆底盘和车身等金属结构件的耐久性考核。试验通过台架为车辆加载24个受力 ...",successful,走进吉利研发中心，揭秘帝豪GL研发过程- 电动GO,www.buyevcar.com.cn/news/1522.html
